,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
57,Thank God It's Christmas - Non-Album Single,Queen,1071355,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
58,Underneath the Tree,Kelly Clarkson,1056350,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
59,Wieder Lila,Samra,1054892,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We
60,Mistletoe,Justin Bieber,1044622,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
61,Señorita,Shawn Mendes,1036589,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
62,Jingle Bell Rock,Bobby Helms,1026238,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
63,Feliz Navidad,José Feliciano,1016678,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
64,Unnormal,RAF Camora,1015187,https://open.spotify.com/track/7CzSP7spDpZBP8edbtPIwI
65,PHANTOM (feat. Summer Cem),reezy,1014867,https://open.spotify.com/track/1s0nANz8q6gEZOms034GbU
66,bad guy,Billie Eilish,983098,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
67,Christmas Time,Bryan Adams,978270,https://open.spotify.com/track/6aoWJSqAgHXacunJ2tdijv
68,Swish,Summer Cem,975131,https://open.spotify.com/track/4ktwDUoKdVlk50lUlSIMEY
69,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,957578,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
70,Hallelujah,Pentatonix,953350,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx
71,Lose You To Love Me,Selena Gomez,952624,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
72,Hollywood,RIN,948613,https://open.spotify.com/track/034jxfixe0Gogd6p0reMnP
73,Seele,Azet,945343,https://open.spotify.com/track/0b9tA3TNHCzfbTh9mGloNx
74,Puta Madre - Bonustrack,RAF Camora,930911,https://open.spotify.com/track/0bg9us6qbMWTAMSF3y4egO
75,Fabergé,RIN,929098,https://open.spotify.com/track/7BYf1rypxrlcLK2DMLSjiw
76,100%,Senidah,924265,https://open.spotify.com/track/58cWbqYLz06X69SqJiYeky
77,Do They Know It's Christmas? - 1984 Version,Band Aid,916171,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
78,Summer Cem (feat. Luciano),Summer Cem,915057,https://open.spotify.com/track/1hrHUEYoVBC1hNCXkX7tIA
79,1000 Hits,Jamule,913539,https://open.spotify.com/track/22XKrkW2HeaLlxNDQs14iG
80,UP IN SMOKE,RIN,902135,https://open.spotify.com/track/0nnmA43aDEfmau2Vyo7b4g
81,Hayabusa,Miami Yacine,889021,https://open.spotify.com/track/5bWb0lSKQzqlRbq6lonxl7
82,Eiskalt,Loredana,888113,https://open.spotify.com/track/5sMugAU31Ug5SAUUbhBIKU
83,Monster,LUM!X,885461,https://open.spotify.com/track/0YU17F0BlVXvmx5ytsR43w
84,Better,Lena,881049,https://open.spotify.com/track/3jCMdvc8bFOKChETbFV9Zc
85,Als wenns gestern war,Slavik,875453,https://open.spotify.com/track/5yWnIalBcSZn8vKwZd3VJa
86,In der Weihnachtsbäckerei,Rolf Zuckowski,873314,https://open.spotify.com/track/7gcKoI9KokClK9ZUjNFgZa
87,Mambo No. 5,Summer Cem,870200,https://open.spotify.com/track/1tqBuMynbCeneU8Qv7Tpd5
88,Mary,Bausa,868927,https://open.spotify.com/track/2Jij6ebp6ToNKOn5DWlGxV
89,Hate Me (with Juice WRLD),Ellie Goulding,856613,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
90,Adore You,Harry Styles,847414,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
91,Huracan,Samra,837551,https://open.spotify.com/track/6AFIVhbJLR7YVvW9fLFMu1
92,500 PS,Bonez MC,832217,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG
93,Bandit (with YoungBoy Never Broke Again),Juice WRLD,809820,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
94,It's the Most Wonderful Time of the Year,Andy Williams,802558,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
95,Adriana,RAF Camora,801423,https://open.spotify.com/track/5YbcMbH4xHRfep9rSxLRDt
96,Hoch,Tim Bendzko,792394,https://open.spotify.com/track/7gqefhSJfWyN1qQ2huvEze
97,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,789437,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
98,Standort,Pietro Lombardi,786890,https://open.spotify.com/track/3TRhqR8iMV4ZZko3dDnCJW
99,Beautiful People (feat. Khalid),Ed Sheeran,785661,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
100,Piece Of Your Heart,MEDUZA,774173,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
101,Kein Plan,Loredana,771845,https://open.spotify.com/track/2d3WpbJFBND2vwMJyULdfU
102,2 Minuten,Apache 207,769936,https://open.spotify.com/track/1u5jYTx2WdptYWYpwqcE9n
103,Athen,Jamule,769720,https://open.spotify.com/track/1MJzx3O4tcwe7PrRWpOAb4
104,Brot nach Hause,Apache 207,743158,https://open.spotify.com/track/5e0bzcsI1khimLSJhddHdS
105,Maybachemblem (Intro),Kollegah,738870,https://open.spotify.com/track/7A2UebwWrPJJOSCxrZ1CBB
106,Outnumbered,Dermot Kennedy,733301,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
107,Zeit steht,Trettmann,727596,https://open.spotify.com/track/22ET3BvBsXcGiwxy1uXPbU
108,My Only Wish (This Year),Britney Spears,724256,https://open.spotify.com/track/6id0KJ3XgvJLSzyMtHBj67
109,Pompa,Summer Cem,713372,https://open.spotify.com/track/5xrnFdas2cJEA7RVun9BGA
110,Beef,Apache 207,710572,https://open.spotify.com/track/1COyMUbpLCVDzRBKn4TQY4
111,Futsal Shuffle 2020,Lil Uzi Vert,705820,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
112,Genick,Loredana,704920,https://open.spotify.com/track/1AGjF8pckOxTGeb5zubyqH
113,MONEYHONEYDRIP,Jamule,703887,https://open.spotify.com/track/7uj8AUQSUg8ZAzabYLwt8f
114,Jetzt rufst du an,Loredana,698959,https://open.spotify.com/track/46QHfb0an5B7cgHRfuDHas
115,Before You Go,Lewis Capaldi,692914,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
116,RSVP,RIN,692446,https://open.spotify.com/track/38UlieEW0eto55PNH9Z0cK
117,Infinitum,Kollegah,692138,https://open.spotify.com/track/6POx7lbooxqGEASVlGIg4Z
118,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,688553,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
119,Vintage,RIN,687043,https://open.spotify.com/track/2DGaC5ET92bgg0fMunJKIF
120,Heartless,The Weeknd,685840,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
121,194 Länder - Single Version,Mark Forster,674916,https://open.spotify.com/track/6kga9ZYARzHBprnLOENrMQ
122,gENAuSo,Dardan,673862,https://open.spotify.com/track/5nmVf5dSgH4A25qsev28Mi
123,Diamonds (feat. Capital Bra),Summer Cem,673499,https://open.spotify.com/track/2nPJnablplDgVVgSDF9BAs
124,Shababs botten,Pashanim,668706,https://open.spotify.com/track/0H9WHopZ62JeDaGau7REMw
125,Torn,Ava Max,663668,https://open.spotify.com/track/2GdxQw8NwoeH8tKySg6nym
126,My Oh My (feat. DaBaby),Camila Cabello,658645,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
127,I Don't Care (with Justin Bieber),Ed Sheeran,654160,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
