r,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
59,2x,Mathea,1083632,https://open.spotify.com/track/2pu5rVWy3zPlgypJzL3Mlw
60,JAJA,Fero47,1083432,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf
61,Viva la Dealer,SDP,1070061,https://open.spotify.com/track/2vuFdbSOLje3khV4rLSEpm
62,Baller los,MERO,1069246,https://open.spotify.com/track/1uNzKXVNwq7jwV0rhjXqLB
63,i'm so tired...,Lauv,1037193,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
64,High Hopes,Panic! At The Disco,1034482,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
65,Look Back at It,A Boogie Wit da Hoodie,1023117,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
66,bury a friend,Billie Eilish,1015781,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
67,Fragen,Azet,1007685,https://open.spotify.com/track/3gs4lX2JSAFc8v8piogE3i
68,Speechless (feat. Erika Sirola),Robin Schulz,995080,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
69,Later Bitches,The Prince Karma,925862,https://open.spotify.com/track/2MhnrAz9dreS8zLzEuDflG
70,In My Mind,Dynoro,925184,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
71,Someone You Loved,Lewis Capaldi,914157,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
72,Hardcore High,Juju,911073,https://open.spotify.com/track/6eTCxwf1n7XZLucLtFn0Fo
73,So Am I,Ava Max,869392,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
74,Kill This Love,BLACKPINK,859955,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
75,Super Lemon Haze,LX,840137,https://open.spotify.com/track/2Y6m0Qh5HvO3rikg7dlCav
76,Deine Mutter,Kool Savas,839066,https://open.spotify.com/track/4y8xXLG9O3Rbl6e1KaNRTG
77,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,829213,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S
78,Dieser Weg,Azad,822077,https://open.spotify.com/track/7ER1yJOCwmv6JUsleuQTgW
79,Giant (with Rag'n'Bone Man),Calvin Harris,819156,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
80,Shallow,Lady Gaga,818620,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
81,Tausend Tattoos,Sido,792706,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu
82,Klassik,Nash,782998,https://open.spotify.com/track/4cvdsyaIVLEQXEid5wnyaW
83,Wild Stare,Giant Rooks,764033,https://open.spotify.com/track/2SClPoLfPJmwrr3EyfgRTS
84,Trance,Qzeng,746968,https://open.spotify.com/track/5eA0fLfQRw9WuX34ZRPvAT
85,Never Go Back,Dennis Lloyd,728082,https://open.spotify.com/track/2QrXzOqLCVDRZHkToA0tSR
